Cód Produto;Descrição;CORRIGIDO
102000152;FITA TRANSPARENTE 48X45;0102000152
102000155;PASTA NOVAONDA ESCOLAR;0102000155
102000156;FOLHA EVA;0102000156
102000163;ENVELOPE PLASTICO A4 OFICIO;0102000163
102000166;SULFITE A4 CANA DE ACUCAR;0102000166
102000168;PAPEL SULFITE A4 90G 210MMX297;0102000168
102000172;PAPEL FOTOGRAFICO A4 215G GLOS;0102000172
102000173;PAPEL 180G 210X297 COLOR BRANC;0102000173
102000176;CAIXA POLIONDA AZUL;0102000176
102000178;GRAMPEADOR METAL PISTOLA;0102000178
102000183;PASTA ISOFLEX A4;0102000183
102000184;SUPORTE PASTA ISOFLEX A4;0102000184
102000186;PLASTIFICACAO A4 - 100 LAMINAS;0102000186
102000189;PLASTIFICACAO A4 - 100 MICRAS;0102000189
102000190;PLASTIFICACAO A4 - 200 MICRAS;0102000190
102000195;SULFITE A4 ROSA C/ 100 FLS;0102000195
102000197;SULFITE A4 VERDE C/ 100 FLS;0102000197
102000199;PAPEL OFFICE COLOR A4;0102000199
102000200;PAPEL CARTAO A4 VERDE 200G;0102000200
102000204;CONTACT 45CM X 10M;0102000204
103000011;SUPORTE NOTEBOOK;0103000011
103000045;TECLADO;0103000045
103000046;MOUSE USB;0103000046
103000075;SUPORTE PARA TABLET;0103000075
103000096;ADAPTADOR WIRELESS N 300 MBPS;0103000096
103000100;CABO ADAPTADO CONVERSOR HDMI;0103000100
103000101;PEN DRIVE 32GB;0103000101
103000104;PEN DRIVE 16GB;0103000104
103000107;FONE DE OUVIDO PLUG;0103000107
103000117;FITA ORGANIZADORA TIPO VELCRO;0103000117
104000003;ESTOJO/KIT FERRAMENTA;0104000003
104000011;"TV LED 42""";0104000011
104000012;SMARTPHONE;0104000012
104000023;SMARTPHONE GALAXY A5 DUOS 16GB;0104000023
104000024;ESCOVA MODELADORA;0104000024
104000025;SECADOR DE CABELO;0104000025
104000028;FRITADEIRA ELETRICA;0104000028
104000030;BICICLETA ARO 26;0104000030
104000033;CAFETEIRA CADENCE 450W + 2 XIC;0104000033
104000036;CHAVEIRO BRINDE;0104000036
104000042;CANECA PERSONALIZADA;0104000042
104000052;CANETA PERSONALIZADA;0104000052
104000053;MOLESQUINE 21X13CM PRECALUX;0104000053
104000056;SMART TV LED 32';0104000056
104000058;SANDUICHEIRA / GRILL BRITANIA;0104000058
104000061;PANELA ARROZ ELETRICA;0104000061
104000062;MICROONDAS;0104000062
104000065;LIQUIDIFICADOR;0104000065
104000068;GARRAFA SQUEEZE;0104000068
104000074;NOTEBOOK;0104000074
104000094;ESPREMEDOR DE FRUTAS;0104000094
104000100;BATEDEIRA;0104000100
104000101;FONE DE OUVIDO;0104000101
104000102;PRANCHA;0104000102
104000108;SUPORTE PARA CELULAR;0104000108
104000109;TV 50';0104000109
104000110;BICICLETA ARO 29;0104000110
104000111;CAIXA DE SOM;0104000111
104000146;FURADEIRA;0104000146
104000147;SACOLA DE ALGODAO PERSONALIZAD;0104000147
104000153;SMART SPEAKER ECHO DOT PTOB;0104000153
104000154;FIRE TV STICK LITE C CONTROLB;0104000154
104000156;MOTO YAMAHA NEO 125;0104000156
104000160;MAQUINA DE CORTAR CABELO;0104000160
104000164;CHALEIRA ELETRICA A5 LIVING 1.;0104000164
104000182;BOMBOM SONHO DE VALSA;0104000182
104000184;TV SMART FULL HD 43;0104000184
104000185;SMARTPHONE SAMSUNG;0104000185
104000200;COPO PERSONALIZADO COM CANUDO;0104000200
104000201;CHAVEIRO CIPA;0104000201
104000202;CLIP PORTA LUVAS;0104000202
104000204;AIR FRYER;0104000204
104000205;CONJUNTO/KIT ESPECIAL;0104000205
104000207;BALA SORTIDA;0104000207
104000208;BEXIGA  AZUL;0104000208
104000209;BEXIGA  BRANCA;0104000209
104000212;ROLO CONTINUO  VINIL BRANCO;0104000212
104000218;RELOGIO SMARTWATCH;0104000218
104000219;BOLINHA CRAVO FISIOTERAPIA;0104000219
105000002;ALMOFADA P/ CARIMBO PRETO;0105000002
105000003;APAGADOR QUADRO BRANCO;0105000003
105000004;APONTADOR;0105000004
105000005;CAIXA ARQUIVO MORTO KRAFT;0105000005
105000007;BLOCO FOLHAS FLIP;0105000007
105000009;CADERNO ESPIRAL 1/4 CAPA DURA;0105000009
105000010;CADERNO UNIVER 1X1 CAPA DURA;0105000010
105000011;CALCULADORA 8 DIGITOS;0105000011
105000012;CALCULADORA 12 DIGITOS;0105000012
105000013;CANETA ESFEROGRAFICA AZUL;0105000013
105000014;CANETA ESFEROGRAFICA PRETA;0105000014
105000015;CANETA ESFEROGRAFICA VERMELHA;0105000015
105000016;COLA BASTAO 40GR;0105000016
105000017;COLA LIQUIDA BRANCA;0105000017
105000018;CLIPS GALVANIZADO 2/0;0105000018
105000019;CLIPS GALVANIZADO 4/0;0105000019
105000020;CLIPS GALVANIZADO 6/0;0105000020
105000021;CLIPS GALVANIZADO 8/0;0105000021
105000023;CORDAO LUFT CRACHA;0105000023
105000024;FITA ADESIVA 48X50;0105000024
105000025;GRAMPEADOR PARA 25 FOLHAS;0105000025
105000027;GRAMPO GALVANIZADO 23/13;0105000027
105000028;GRAMPO GALVANIZADO 26/6;0105000028
105000030;LAPIS;0105000030
105000031;PASTA CATALOGO;0105000031
105000032;PASTA L;0105000032
105000034;PASTA SUSPENSA;0105000034
105000036;PASTA C/ ABA E ELASTICO;0105000036
105000037;PASTA MOLHA DEDO;0105000037
105000038;PERFURADOR;0105000038
105000040;PILHA ALCALINA PEQUENA  A A;0105000040
105000041;PILHA ALCALINA PALITO C/2;0105000041
105000042;PILHA ALCALINA AAA;0105000042
105000043;PINCEL MARCA TEXTO AZUL;0105000043
105000044;PINCEL MARCA TEXTO ROSA;0105000044
105000045;PINCEL  MARCA TEXTO VERDE;0105000045
105000046;PINCEL MARCA TEXTO AMARELO;0105000046
105000048;PINCEL PERMANENTE ATOMICO PRET;0105000048
105000049;PRANCHETA;0105000049
105000051;QUADRO PLANEJAMENTO SEMANAL;0105000051
105000053;REGUA 30CM;0105000053
105000055;TINTA P/ CARIMBO AZUL;0105000055
105000059;CAVALETE PARA FLIP CHART;0105000059
105000061;APOIO MOUSE ERGONOMICO;0105000061
105000062;CHAVEIRO SORT C/ VISOR 60 UNID;0105000062
105000064;CRACHA DE IDENTIFICACAO;0105000064
105000066;EXTRATOR DE GRAMPO;0105000066
105000070;PERCEVEJO;0105000070
105000071;PORTA CANETAS;0105000071
105000072;TINTA P/ PINCEL ATOMI AZUL;0105000072
105000074;BORRACHA;0105000074
105000075;ORGANIZADOR DE MESA TRIPLO HOR;0105000075
105000083;BOBINA TERMICA RELOGIO PONTO;0105000083
105000085;CLIPS GALVANIZADO 3/0;0105000085
105000086;COLA BASTAO 10GR;0105000086
105000087;ELASTICO LATEX AM C/100;0105000087
105000092;PINCEL QUADRO BRANCO - VERM.;0105000092
105000093;PINCEL QUADRO BRANCO - PRETO;0105000093
105000094;PINCEL QUADRO BRANCO - AZUL;0105000094
105000095;PINCEL QUADRO BRANCO - VERDE;0105000095
105000096;VISOR PASTA SUSPENSA;0105000096
105000098;CORRETIVO LIQUIDO;0105000098
105000099;ESTILETE LARGO;0105000099
105000103;PASTA C/ GRAMPO TRILHO;0105000103
105000105;CHAVE COPIA;0105000105
105000107;PASTA SANFONADA PLASTICA;0105000107
105000109;PILHA ALCALINA D;0105000109
105000114;CAPA PARA ENCADERNACAO;0105000114
105000115;CONTRACAPA PARA ENCADERNACAO;0105000115
105000116;CAIXA CORRESPONDENCIA TRIPLO ACRILICO;0105000116
105000117;CANETA ESFEROG SUPER GRIP AZ;0105000117
105000118;AGENDA C/ CALENDARIO;0105000118
105000119;LUMINARIA DE MESA;0105000119
105000124;GRAMPO GALVANIZADO 9/10;0105000124
105000126;FITA ADESIVA 12MMX30 - DUREX;0105000126
105000127;PINCEL PERMANENTE ATOMICO AZUL;0105000127
105000129;CLIPS BORBOLETA;0105000129
105000136;QUADRO CORTICA;0105000136
105000145;BATERIA CR2032 3V;0105000145
105000154;FURADOR DE PAPEL C/ 2 FUROS;0105000154
105000168;TINTA P/ CARIMBO PRETA;0105000168
105000169;CAIXA ARQUIVO MORTO PLASTICO;0105000169
105000184;CARIMBO DATADOR S120;0105000184
105000193;MOCHILA PARA NOTEBOOK;0105000193
105000197;ORGANIZADOR PASTA SUSPENSA;0105000197
105000199;TRAVA SEGURANCA PARA CRACHA;0105000199
105000200;ENVELOPE PLASTICO IDENT;0105000200
105000203;ARQUIVO MALETA PP AZ C/10 PAST;0105000203
105000204;CAIXA ORGANIZADORA 60L C/ TAMP;0105000204
105000206;TESOURA ESCOLAR;0105000206
105000207;COLA GOMA ARABICA;0105000207
105000211;ARQUIVO MORTO PLASTICO AZUL;0105000211
105000214;PASTA AZ REGISTRADORA;0105000214
105000215;FURADOR OVOIDE P/ CRACHA;0105000215
105000216;FITA CORRETIVA;0105000216
105000217;DISPLAY ACRILICO VERTICAL A4;0105000217
105000226;FURADOR DE FOLHA 4 FUROS;0105000226
105000231;GRAMPEADOR PARA 240 FOLHAS;0105000231
105000234;PASTA COM ABA E ELAST VD 55MM;0105000234
105000235;PILHA 23A 12V;0105000235
105000238;ELASTICO LATEX N���18 C/100 G;0105000238
105000245;LAMINA PARA ESTILETE LARGA;0105000245
105000251;CRACHA DE ACESSO EM PVC C/ COD;0105000251
105000254;MOUSE PAD SIMPLES;0105000254
105000255;PERCEVEJO COLORIDO;0105000255
105000259;BATERIA CR 2025;0105000259
105000260;BLOCO ADESIVO AM 76MMX102MM;0105000260
105000265;GRAMPEADOR PEQUENO;0105000265
105000269;FITA DUPLA FACE 3M;0105000269
105000276;PINCEL PERMANENTE VERMELHO;0105000276
105000277;PASTA SANFONADA JAN/DEZ;0105000277
105000284;CAIXA ARQUIVO MORTO PEQUENA;0105000284
105000287;CORDAO PARA CRACHA COLORIDO;0105000287
105000289;GRAMPO;0105000289
105000292;FITA EMPACOTAMENTO 45X40;0105000292
105000294;CALCULADORA 8 DIGITOS SOLAR;0105000294
105000296;CLIPS GALVANIZADO 10/0;0105000296
105000300;GRAMPEADOR 30 FOLHAS;0105000300
105000307;GRAMPO GALV 9/8;0105000307
105000308;REGUA 50CM;0105000308
105000309;GUILHOTINA IMPORTADA OFICIO;0105000309
105000315;PINCEL MARCA TEXTO LARANJA;0105000315
105000316;ORGANIZADOR MESA DUPLO;0105000316
105000321;BASTAO DE COLA QUENTE;0105000321
105000322;CALCULADORA DE MESA 12 DIGITOS;0105000322
105000326;GRAMPO 106/06;0105000326
105000327;EXTRATOR DE GRAMPO ESPATULA;0105000327
105000332;PINCEL MARCA TEXTO VERDE;0105000332
105000336;CARTAO MAGNETICO;0105000336
105000343;FITILHO AZUL ROYAL;0105000343
105000358;BATERIA ALCALINA 9V ELGIN;0105000358
105000359;BORRACHA PONTEIRA;0105000359
105000363;BATERIA ALCALINA 9V DURACELL;0105000363
105000371;REFIL P PLASTIFICACAO  A3;0105000371
105000375;LAMINA ESTILETE BICO DE PATO;0105000375
105000377;IMA ADESIVADO A4;0105000377
105000379;ALFINETE NUMERO 1;0105000379
105000384;TINTA PRETA PARA QUADRO BRANCO;0105000384
105000398;GIZ DE CERA;0105000398
105000406;BEXIGA AZUL;0105000406
105000407;BEXIGA ROSA;0105000407
105000416;BALAO BUBBLE G PERSONALIZADO;0105000416
105000429;PASTA FLEXOLINE A4 PRETA;0105000429
105000432;BARBANTE ALGODAO N.8 200GRS;0105000432
105000436;PINCEL MARCADOR PERM. VERDE;0105000436
105000440;ORGANIZADOR DE MESA VERTICAL;0105000440
105000451;PISTOLA P/COLA QUENTE;0105000451
105000461;PORTA CRACHA PLASTICA EM PVC;0105000461
105000466;PAPEL PEROLADO;0105000466
105000467;DISPLAY ACRILICO A6;0105000467
105000471;TESOURA TECELAO 12 CM;0105000471
105000472;BEXIGA BRANCA;0105000472
105000474;GRAMPEADOR 50 FOLHAS;0105000474
105000484;BALAO LATEX AZUL;0105000484
105000488;BALAO LATEX PRETO;0105000488
105000489;"BALAO BRANCO 9"" C/ 50 UNID.";0105000489
105000512;CORDAO CRACHA SIMPLES;0105000512
105000513;"BALAO DOURADO 9"" C/ 25 UNID.";0105000513
105000515;ABRACADEIRA 3X100MM PRETA;0105000515
105000517;LUPA DE MAO AUMENTO 10X;0105000517
201000003;PAPEL TOALHA KLENEX SUPREME;0201000003
201000007;PAPEL HIGIENE ROLAO;0201000007
201000012;SABONETE LIQUIDO;0201000012
201000021;SABAO LIQUIDO;0201000021
201000023;SABONETE LIQUIDO 5 LTS;0201000023
201000024;PAPEL HIGIENICO ROLAO BRANCO;0201000024
201000026;PAPEL TOALHA BOBINA;0201000026
201000027;SABONETEIRA LIQUIDA;0201000027
201000029;PAPEL HIGIENICO NEVE;0201000029
201000030;INSETICIDA SPRAY;0201000030
201000033;LIMPA  ALUMINIO DESOMAX;0201000033
201000039;TELA DE MICTORIO;0201000039
201000049;PAPEL HIGIENICO 250M;0201000049
201000050;PAPEL TOALHA 200MX6 IDEAL;0201000050
201000054;DESINFETANTE;0201000054
201000055;DETERGENTE 5 LITROS;0201000055
201000056;DETERGENTE 500ML;0201000056
201000057;LUSTRA MOVEIS;0201000057
201000058;ODORIZADOR SECAR 360 ML;0201000058
201000060;PAPEL TOALHA INTERFOLHA;0201000060
201000061;PEDRA SANITARIA;0201000061
201000063;SABAO EM PO 1KG;0201000063
201000066;SACO DE LIXO 20 LITROS PRETO;0201000066
201000067;SACO DE LIXO 250 LITROS PRETO;0201000067
201000068;SACO DE LIXO 30 LITROS;0201000068
201000069;SAPONACEO LIQUIDO;0201000069
201000072;VEJA MULTIUSO ORIGINAL;0201000072
201000073;PAPEL HIGIENICO 8X300;0201000073
201000074;DESENGRAXANTE NEUTRO 5LT;0201000074
201000075;DESINFETANTE PATO;0201000075
201000078;VEJA MULTIUSO LAVANDA;0201000078
201000080;GEL PARA VASO SANITARIO;0201000080
201000081;BOM AR 360ML LAVANDA;0201000081
201000082;DESINFETANTE 5LTS;0201000082
201000083;CLORO 5LTS;0201000083
201000084;CERA LIQUIDA POWER CLEAN 5L;0201000084
201000085;ALCOOL 1LT LIQUIDO;0201000085
201000086;LIMPA VIDROS;0201000086
201000087;APLICADOR UNIVER BORRIF 500ML;0201000087
201000089;SACO DE LIXO 40 LITROS PRETO;0201000089
201000090;SACO DE LIXO PRETO 100L;0201000090
201000091;SACO LIXO PRETO 200LTS REFORCADO P7;0201000091
201000092;ALCOOL ANTISSEPTICO GEL 500ML;0201000092
201000093;BOM AR 400ML DIVERSO;0201000093
201000094;FLANELA LARANJA;0201000094
201000095;ARMACAO MOP 80 CM;0201000095
201000096;ESPANADOR DE PENA;0201000096
201000099;SACO LIXO PRETO 300LT;0201000099
201000100;LUVA LATEX P;0201000100
201000102;REMOVEDOR DE CERA;0201000102
201000103;RODO 40CM;0201000103
201000104;SABAO;0201000104
201000105;SACO ALVEJADO;0201000105
201000106;SACO XADREZ;0201000106
201000107;SAPOLIO CREMOSO;0201000107
201000109;VASSOURA PIACAVA;0201000109
201000110;VASSOURA NOVICA;0201000110
201000113;BALDE 10LTS;0201000113
201000115;DESINCRUSTANTE;0201000115
201000116;DESENTUPIDOR;0201000116
201000117;ESCOVA SANITARIA;0201000117
201000118;ESPONJA DE ACO;0201000118
201000119;ESPONJA MULTIUSO;0201000119
201000120;LIXEIRA COM PEDAL PT 30 LITROS;0201000120
201000121;PA DE LIXO;0201000121
201000122;RODO 60CM;0201000122
201000123;LIXEIRA 15L;0201000123
201000124;SABAO EM PO 5KG;0201000124
201000126;APARELHO AUTOMATICO BOM AR;0201000126
201000127;LUVA LATEX M;0201000127
201000128;LUVA LATEX G;0201000128
201000130;VASSOURA DE NYLON;0201000130
201000131;ESFREGAO PARA MOP;0201000131
201000133;SACO PLASTICO TRANSPAREN 100LT;0201000133
201000135;PORTA PAPEL TOALHA;0201000135
201000136;ESCOVA DE ACO COM CABO;0201000136
201000137;PANO XADREZ;0201000137
201000139;PANO MULTIUSO 50X33;0201000139
201000140;ESPANADOR ELETROSTATICO;0201000140
201000142;DESENGORDURANTE;0201000142
201000143;NAFTALINA;0201000143
201000145;PORTA PAPEL HIGIENICO;0201000145
201000146;VASSOURA PARA VASO SANIT;0201000146
201000149;PANO ALVEJADO;0201000149
201000150;LIXEIRA PARA COPOS USADOS;0201000150
201000151;DISPENSER DE PAPEL;0201000151
201000152;DISPENSER DE COPO ACRILICO;0201000152
201000154;SACO DE LIXO 60 LITROS PRETO;0201000154
201000156;PANO MULTIUSO 300MT;0201000156
201000159;REFIL MOPINHO;0201000159
201000160;ESPANADOR DE NYLON;0201000160
201000162;LIXEIRA 100LTS;0201000162
201000164;SACO DE LIXO 100 LITROS PRETO;0201000164
201000165;SACO DE LIXO 100 LITROS CINZA;0201000165
201000166;SACO DE LIXO 200 LITROS;0201000166
201000167;SACO DE LIXO 50 LITROS;0201000167
201000171;ESCOVA DE NYLON;0201000171
201000172;RODO 80CM;0201000172
201000173;AGUA SANITARIA 5 LTS;0201000173
201000174;CABO DE VASSOURA/RODO;0201000174
201000175;RODO 30CM;0201000175
201000177;VASSOURA 60 CM;0201000177
201000178;ARMACAO MOP 1,20;0201000178
201000182;CJ LIXEIRA COLETA SELETIVA;0201000182
201000187;FIBRA LIMPEZA GERAL 100X260;0201000187
201000188;DISCO LIMPADOR VERDE 51CM;0201000188
201000191;REFIL BOM AR 250ML;0201000191
201000195;SACO DE LIXO 30 L REFOR CINZA;0201000195
201000196;SACO DE LIXO 60 L;0201000196
201000201;LIXEIRA 10 LITROS;0201000201
201000202;BORRIFADOR 300 ML;0201000202
201000203;FIBRA LIMPEZA LEVE BRANCA;0201000203
201000206;LIXEIRA COM PEDAL 30L BCO;0201000206
201000207;DISPENSER P/ PAPEL HIGIENICO;0201000207
201000208;DISPENSER P/  PAPEL TOALHA;0201000208
201000209;DISPENSER PARA SABONETE;0201000209
201000210;BOM AR 360ML MANHA DO CAMPO;0201000210
201000211;PANO DE PRATO;0201000211
201000212;SACO LIXO 150LT;0201000212
201000214;DETERGENTE P/ MAQUINA DE PISO;0201000214
201000217;CABO  DE ALUMINIO;0201000217
201000219;RODO PIA;0201000219
201000226;LIXEIRA 50 L;0201000226
201000227;BALDE 15L;0201000227
201000228;REFIL MOP PO 80 CM;0201000228
201000229;VASSOURA LIMPA TETO;0201000229
201000230;LIMPADOR PERFUMADO 500 ML;0201000230
201000236;LIXEIRA 12LTS;0201000236
201000237;LIMPA CERAMICA E AZULEJOS;0201000237
201000240;MOP PO COMPLETO;0201000240
201000242;FIBRA DE LIMPEZA VERDE;0201000242
201000244;PASTA DESENGRAXANTE PARA MAOS;0201000244
201000247;LIXEIRA 14LT;0201000247
201000259;ALCOOL EM GEL 70 % GALAO 5L;0201000259
201000263;LIXEIRA AZUL 50 L;0201000263
201000264;LIXEIRA  VERMELHA 50 L;0201000264
201000280;SACO LIXO PRETO REFORCADO 40LT;0201000280
201000283;RODO 1 MT;0201000283
201000284;MOP UMIDO;0201000284
201000295;LIXEIRA BRANCA 50 LITROS;0201000295
201000296;ORGANIZADOR DE LIMPEZA 3/7;0201000296
201000299;DESINFETANTE EUCALIPTO 2LT;0201000299
201000301;DESINFETANTE LAVANDA 2LT;0201000301
201000302;DESINFETANTE PINHO 2LT;0201000302
201000303;FLANELA AMARELA;0201000303
201000305;TIRA GRUDE;0201000305
201000306;BALDE 20LT;0201000306
201000307;PULVERIZADOR GATILHO;0201000307
201000311;PASTILHA SANITARIA CITRUS;0201000311
201000313;SACO LIXO AZUL 60LT C/100;0201000313
201000314;SACO DE LIXO 60L AMAR C 100;0201000314
201000315;SACO DE LIXO 60L VERM C 100;0201000315
201000316;SACO DE LIXO 60L VERDE C 100;0201000316
201000317;LIXEIRA 60 L COM PEDAL PRETO;0201000317
201000320;LIXEIRA COM PEDAL 25L;0201000320
201000337;LIMPADOR MULTIUSO;0201000337
201000341;ALCOOL EM GEL 5LTS;0201000341
201000343;ALCOOL LIQ. 70% 1 L;0201000343
201000347;PULVERIZADOR 500 ML;0201000347
201000349;DISPENSER P/ ALCOOL EM GEL;0201000349
201000350;ALCOOL LIQUIDO 70% 5LT;0201000350
201000352;PA COLETORA;0201000352
201000362;CAIXA DESCARTE DE PILHA;0201000362
201000365;SACO LIXO BRANCO 20LT;0201000365
201000370;FRASCO BORRIFADOR ALCOOL LIQUI;0201000370
201000371;FRASCO C VALVULA PUMP ALCOOL G;0201000371
201000372;LUVAS CIRURGICA DESCARTAVEL M;0201000372
201000376;REFIL MOP PO 60CM;0201000376
201000377;LUVA LATEX AMARELA M;0201000377
201000378;LUVA LATEX AMARELA G;0201000378
201000379;LUVA CIR DESCARATAVEL P;0201000379
201000380;LUVA LATEX AZUL G;0201000380
201000382;DISPENSER PARA DETERGENTE;0201000382
201000383;RASPADOR COM CABO;0201000383
201000384;SUPORTE LIMPA TUDO;0201000384
201000391;SACO DE LIXO 100L AZUL;0201000391
201000402;LAMINA PARA RASPADOR;0201000402
201000407;SACO DE LIXO 20L PRETO;0201000407
201000411;SACO DE LIXO 110L VERMELHO P40;0201000411
201000419;SACO DE LIXO 40L PRETO;0201000419
201000420;AVENTAL PLASTICO LONGO;0201000420
201000427;SACO DE LIXO 15L PRETO;0201000427
201000433;PANO MULTIUSO 30X30 C/ 60 UN;0201000433
201000438;RESINA MISTA DEION RM1;0201000438
201000445;HASTE/GARRA EURO;0201000445
201000447;SABAO LIQUIDO PARA PISOS;0201000447
201000448;CABO EXTENSOR ALUMINIO;0201000448
201000449;LUVA CIR DESCARTAVEL G;0201000449
201000451;REMOVEDOR DE SUJEIRA PESADA;0201000451
201000453;KIT LIMPEZA;0201000453
201000454;VASSOURAO 60CM C/ CABO;0201000454
201000455;RODO ALUMINIO 100CM;0201000455
201000459;SABONETE GEL DESENGRAXANTE 2LT;0201000459
201000464;SUPORTE MOP AGUA;0201000464
201000468;ARMACAO MOP 60CM;0201000468
201000469;CARRO ESPREMEDOR MOP 20L;0201000469
201000470;CARRO ESPREMEDOR MOP 28L;0201000470
201000471;CARRO MULTIFUNCIONAL  LIMP;0201000471
201000473;SABONETE ESPUMA REFIL 600ML;0201000473
201000476;DISPENSER CREME PROTETOR PELE;0201000476
201000477;SABONETE ESPUMA 800ML;0201000477
201000479;VALVULA PUMP GALAO 5 LITROS;0201000479
201000480;LUVA LATEX AMARELA P;0201000480
201000481;LUVA LATEX VERDE P;0201000481
201000482;LUVA LATEX VERDE M;0201000482
201000483;LUVA LATEX VERDE G;0201000483
201000484;UVA LATEX AZUL P;0201000484
201000485;LUVA LATEX AZUL M;0201000485
201000486;PANO XADREZ VERMELHO;0201000486
301000001;AGUA MINERAL 20LT;0301000001
301000006;BISCOITO AMANTEIGADO;0301000006
301000007;BISCOITO MAIZENA;0301000007
301000008;BISCOITO CREAM CRACKER;0301000008
301000016;SUCO DE LARANJA 200ML;0301000016
301000019;SUCO DE UVA 200ML;0301000019
301000022;ACUCAR EM SACHE;0301000022
301000034;CAFE PO BOM JESUS 500G;0301000034
301000039;FILTRO PAPEL;0301000039
301000050;FILTRO P/CAFE C/30 UN;0301000050
301000055;CHA CAMOMILA;0301000055
301000056;AGUA MINERAL 500ML;0301000056
301000061;LEITE EM PO;0301000061
301000062;PAO;0301000062
301000063;CAFE EXTRA FORTE;0301000063
301000065;MARGARINA QUALY 500G;0301000065
301000069;COCA COLA ZERO;0301000069
301000072;ADOCANTE LIQUIDO 100ML;0301000072
301000073;GUARANA ANTARTICA LATA;0301000073
301000074;ACUCAR 1 KG;0301000074
301000077;COCA-COLA EM LATA;0301000077
301000079;BOLINHO BAUNILHA/CHOCLATE;0301000079
301000107;COFEE BREAK I;0301000107
301000113;CHA MATTE NATURAL;0301000113
301000119;DESJEJUM SEG/SAB TERCEIROS;0301000119
301000120;DESJEJUM DOM/FERIADO TERCEIROS;0301000120
301000121;CHA DESJEJUM SEG/SAB;0301000121
301000122;CAFE DESJEJUM SEG/SAB;0301000122
301000124;REFEICAO SEG/SAB S/ DESCONTO;0301000124
301000126;REFEICAO FIM DE SEMANA S/ DESC;0301000126
301000127;PAO DESJEJUM;0301000127
301000128;COFFE BREAK II;0301000128
301000133;CAPSULA DE CAFE;0301000133
301000135;LANCHE I;0301000135
301000136;SUCO NATURAL;0301000136
301000137;DEJEJUM;0301000137
301000138;DEJEJUM S/S;0301000138
301000139;DEJEJUM D/F;0301000139
301000140;ALMOCO;0301000140
301000141;ALMOCO S/S;0301000141
301000142;ALMOCO D/F;0301000142
301000143;JANTAR;0301000143
301000144;CEIA;0301000144
301000145;CEIA S/S;0301000145
301000147;REFRIGERANTE;0301000147
301000148;SUCO;0301000148
301000149;COFFEE;0301000149
301000150;CAFE LITRO;0301000150
301000153;CAFE EXPRESSO CURTO;0301000153
301000155;CAFE EXPRESSO LONGO;0301000155
301000156;CAFE EXPRESSO C/ LEITE 80-160;0301000156
301000157;CAPPUCCINO EXPRESSO;0301000157
